Text,Sentiment
I'm absolutely furious!,Angry
Nothing stood out to me today.,Neutral
I'm losing my patience!,Angry
I can't take this anymore!,Angry
This is the worst day ever!,Angry
I feel like I'm fading away.,Depression
This is pure happiness!,Happy
I feel amazing today!,Happy
I don't have much to say.,Neutral
I'm so excited about this!,Happy
I'm struggling to find joy.,Depression
I can't stop laughing!,Happy
Everything is overwhelming.,Depression
I'm so lucky to have this moment.,Happy
I can't see a way out.,Depression
I feel like punching something!,Angry
I'm feeling so happy right now!,Happy
I don't have much to say.,Neutral
Nothing seems to matter anymore.,Depression
Everything was just fine.,Neutral
Nothing stood out to me today.,Neutral
I'm feeling so happy right now!,Happy
Why does this always go wrong?,Angry
I don't have the energy for anything.,Depression
Nothing seems to matter anymore.,Depression
Everything is a struggle.,Depression
Today has been amazing!,Happy
I just want this pain to stop.,Depression
Everything is going as expected.,Neutral
It was a typical day.,Neutral
I just want to be alone.,Depression
I hate dealing with these issues!,Angry
I'm absolutely furious!,Angry
Life is full of happiness!,Happy
I'm so lucky to have this moment.,Happy
I'm grateful for everything!,Happy
This is pure happiness!,Happy
Nothing stood out to me today.,Neutral
Everything feels wonderful!,Happy
Nothing is going my way today.,Angry
This is completely unacceptable!,Angry
I don't have much to say.,Neutral
Life is full of happiness!,Happy
This is a dream come true!,Happy
Everything is going as expected.,Neutral
I'm feeling so happy right now!,Happy
Things are neither good nor bad.,Neutral
This is the worst day ever!,Angry
I feel lost and hopeless.,Depression
I'm smiling non-stop!,Happy
Nothing seems to matter anymore.,Depression
I feel like I'm fading away.,Depression
I feel like I'm fading away.,Depression
This is a dream come true!,Happy
Today was just like any other day.,Neutral
I have never been this angry!,Angry
Nothing stood out to me today.,Neutral
I don't have the energy for anything.,Depression
Things are neither good nor bad.,Neutral
Life is beautiful!,Happy
This is completely unacceptable!,Angry
Everything feels meaningless.,Depression
"I feel okay, nothing special.",Neutral
This moment is truly special.,Happy
I went through my usual routine.,Neutral
It was a normal experience.,Neutral
It was a normal experience.,Neutral
This situation is so unfair!,Angry
"I feel okay, nothing special.",Neutral
Why is everything so difficult?,Angry
I feel numb to everything.,Depression
I feel numb to everything.,Depression
This is so frustrating!,Angry
This is the best day ever!,Happy
I'm struggling to find joy.,Depression
I hate dealing with these issues!,Angry
I can't see a way out.,Depression
Just another ordinary day.,Neutral
I am so irritated right now.,Angry
Nothing much to report.,Neutral
I'm feeling on top of the world!,Happy
I feel numb to everything.,Depression
I'm so lucky to have this moment.,Happy
Nothing makes me happy.,Depression
It was an average experience.,Neutral
I feel like punching something!,Angry
Nothing seems to matter anymore.,Depression
I'm so excited about this!,Happy
Everything feels wonderful!,Happy
I'm in a fantastic mood!,Happy
No surprises today.,Neutral
Everything is overwhelming.,Depression
I am so irritated right now.,Angry
Life is full of happiness!,Happy
This situation is so unfair!,Angry
I'm so tired of feeling like this.,Depression
Life is full of happiness!,Happy
Everything is so annoying!,Angry
I'm so excited about this!,Happy
I'm absolutely furious!,Angry
I feel like I'm fading away.,Depression
This is pure happiness!,Happy
I feel numb to everything.,Depression
Everything was just fine.,Neutral
Nothing is going my way today.,Angry
This is a dream come true!,Happy
This is just ridiculous!,Angry
Life feels so heavy right now.,Depression
I'm losing my patience!,Angry
I am so irritated right now.,Angry
Everything is going perfectly!,Happy
I'm so tired of feeling like this.,Depression
Everything is going as expected.,Neutral
I'm really mad about this.,Angry
I don't have the energy for anything.,Depression
I am so irritated right now.,Angry
I'm filled with joy!,Happy
"Another day, another routine.",Neutral
I'm feeling so happy right now!,Happy
